"","employees","employee_salaries","salary_adjustments","salary_for_2018","got_raise"
"1","Employee 1",41889.9377994239,5058.47569205798,46948.4134914819,TRUE
"2","Employee 2",49701.2659953907,-2213.38029252365,47487.8857028671,FALSE
"3","Employee 3",45295.7837586291,1049.18598779477,46344.9697464239,TRUE
"4","Employee 4",43601.9235663116,-3848.21098065004,39753.7125856616,FALSE
"5","Employee 5",46081.0405015945,986.271852161735,47067.3123537563,TRUE
"6","Employee 6",47446.6264923103,-4408.6454436183,43037.981048692,FALSE
"7","Employee 7",46274.6400362812,6397.74006442167,52672.3801007029,TRUE
"8","Employee 8",49410.3966956027,-4769.64789442718,44640.7488011755,FALSE
"9","Employee 9",44900.959066581,-2709.92970559746,42191.0293609835,FALSE
"10","Employee 10",47895.3355341218,4912.48511942104,52807.8206535429,TRUE
"11","Employee 11",43392.2797581181,7859.74950180389,51252.029259922,TRUE
"12","Employee 12",44743.0455312133,4043.90530427918,48786.9508354925,TRUE
"13","Employee 13",48762.0522361249,-817.69160926342,47944.3606268615,FALSE
"14","Employee 14",49679.9048129469,8461.86956507154,58141.7743780185,TRUE
"15","Employee 15",45902.3873950355,341.258740518242,46243.6461355537,TRUE
"16","Employee 16",43178.6084547639,-4686.25051085837,38492.3579439055,FALSE
"17","Employee 17",43536.5396854468,7331.45715785213,50867.9968432989,TRUE
"18","Employee 18",49181.2438284978,-4687.26416234858,44493.9796661492,FALSE
"19","Employee 19",45458.5330095142,-1714.73142574541,43743.8015837688,FALSE
"20","Employee 20",48951.8889691681,3641.49964647368,52593.3886156417,TRUE
"21","Employee 21",43950.9397069924,-4144.34544276446,39806.5942642279,FALSE
"22","Employee 22",48175.8377840742,7874.83053980395,56050.6683238782,TRUE
"23","Employee 23",45532.2864092886,6139.38469439745,51671.6711036861,TRUE
"24","Employee 24",49426.4923897572,979.233665857464,50405.7260556147,TRUE
"25","Employee 25",42350.3945930861,-4941.71728147194,37408.6773116142,FALSE
"26","Employee 26",42544.7066128254,6641.34814636782,49186.0547591932,TRUE
"27","Employee 27",44785.4785108939,-4025.22131800652,40760.2571928874,FALSE
"28","Employee 28",43143.2998902164,1186.9498481974,44330.2497384138,TRUE
"29","Employee 29",47987.4236392789,-3789.4029612653,44198.0206780136,FALSE
"30","Employee 30",44222.6727330126,-3895.56972542778,40327.1030075848,FALSE
"31","Employee 31",48083.2220497541,4039.86651217565,52123.0885619298,TRUE
"32","Employee 32",48168.7196227722,-3982.68924676813,44186.0303760041,FALSE
"33","Employee 33",42321.9185578637,9663.07620401494,51984.9947618786,TRUE
"34","Employee 34",49730.8074170724,-68.1324757169932,49662.6749413554,FALSE
"35","Employee 35",44260.6339254417,-927.64088883996,43332.9930366017,FALSE
"36","Employee 36",45705.4277695715,-4872.43548734114,40832.9922822304,FALSE
"37","Employee 37",46730.7169083506,-4429.7898595687,42300.9270487819,FALSE
"38","Employee 38",45633.589096833,-176.510808523744,45457.0782883093,FALSE
"39","Employee 39",48294.3872921169,4668.91933465376,52963.3066267706,TRUE
"40","Employee 40",45439.0325653367,-3992.84677230753,41446.1857930291,FALSE
"41","Employee 41",41816.7232838459,-2873.04716417566,38943.6761196703,FALSE
